name,type,start_time,duration,"register","addr","data","waits","pkey"
"TPM SPI","read",5.19510922,1.598e-06,"TPM_STS_0","d40018","04",0x0000000000000001,
"TPM SPI","read",5.19527157,1.586e-06,"TPM_STS_0","d40018","04",0x0000000000000001,
"TPM SPI","read",5.19543391,1.578e-06,"TPM_STS_0","d40018","04",0x0000000000000001,
"TPM SPI","read",5.19559621,1.574e-06,"TPM_STS_0","d40018","04",0x0000000000000001,
"TPM SPI","read",5.19575855,1.566e-06,"TPM_STS_0","d40018","94",0x0000000000000001,
"TPM SPI","read",5.19576146,1.572e-06,"TPM_STS_0","d40018","94",0x0000000000000001,
"TPM SPI","read",5.19592379,1.582e-06,"TPM_STS_0","d40018","94",0x0000000000000001,
"TPM SPI","read",5.19592671,1.6e-06,"TPM_STS_0","d40018","94",0x0000000000000001,
"TPM SPI","read",5.19608907,1.87e-06,"TPM_STS_0","d40019","1300",0x0000000000000001,
"TPM SPI","read",5.19625069,1.584e-06,"TPM_STS_0","d40018","94",0x0000000000000001,
"TPM SPI","read",5.19625364,1.566e-06,"TPM_STS_0","d40018","94",0x0000000000000001,
"TPM SPI","read",5.19625655,1.57e-06,"TPM_DATA_FIFO_0","d40024","80",0x0000000000000001,
"TPM SPI","read",5.19641889,1.574e-06,"TPM_STS_0","d40018","94",0x0000000000000001,
"TPM SPI","read",5.1964218,1.59e-06,"TPM_STS_0","d40018","94",0x0000000000000001,
"TPM SPI","read",5.19642474,1.602e-06,"TPM_DATA_FIFO_0","d40024","02",0x0000000000000001,
"TPM SPI","read",5.19658708,1.602e-06,"TPM_STS_0","d40018","94",0x0000000000000001,
"TPM SPI","read",5.19659001,1.58e-06,"TPM_STS_0","d40018","94",0x0000000000000001,
"TPM SPI","read",5.19659293,1.566e-06,"TPM_DATA_FIFO_0","d40024","00",0x0000000000000001,
"TPM SPI","read",5.19675526,1.568e-06,"TPM_STS_0","d40018","94",0x0000000000000001,
"TPM SPI","read",5.19675817,1.58e-06,"TPM_STS_0","d40018","94",0x0000000000000001,
"TPM SPI","read",5.19676109,1.604e-06,"TPM_DATA_FIFO_0","d40024","00",0x0000000000000001,
"TPM SPI","read",5.19692344,1.602e-06,"TPM_STS_0","d40018","94",0x0000000000000001,
"TPM SPI","read",5.19692638,1.6e-06,"TPM_STS_0","d40018","94",0x0000000000000001,
"TPM SPI","read",5.19692934,1.582e-06,"TPM_DATA_FIFO_0","d40024","00",0x0000000000000001,
"TPM SPI","read",5.19709169,1.582e-06,"TPM_STS_0","d40018","94",0x0000000000000001,
"TPM SPI","read",5.19709461,1.568e-06,"TPM_STS_0","d40018","94",0x0000000000000001,
"TPM SPI","read",5.19709752,1.572e-06,"TPM_DATA_FIFO_0","d40024","13",0x0000000000000001,
